Symbol,Sector,PE_Ratio
XLVZ,Information Technology,202.338547
GFQM,Real Estate,306.765564
XMAV,Consumer Discretionary,317.821350
PXME,Health Care,330.234161
ITGM,Health Care,97.099701
JPNS,Consumer Discretionary,-15.431593
TUGA,Telecommunication Services,54.837429
EQUV,Telecommunication Services,-198.319351
CNAG,Industrials,-106.200081
FNKN,Telecommunication Services,-437.173492
YUBQ,Telecommunication Services,205.480423
QPKS,Industrials,-104.209480
LFAF,Utilities,-205.722946
LKPX,Financials,252.207306
QUDR,Information Technology,-383.349243
BYCJ,Financials,478.136292
UKIM,Telecommunication Services,376.782806
VYXS,Consumer Staples,-179.780365
VGWK,Energy,-436.074005
ZLVP,Industrials,-25.362743
SSXT,Consumer Discretionary,-334.525360
UOWQ,Telecommunication Services,408.171204
SDIQ,Information Technology,-448.316101
XOEK,Energy,185.182953
QIDZ,Consumer Discretionary,66.127632
JNCO,Consumer Discretionary,-361.689667
YTZS,Information Technology,-7.768151
SPKP,Industrials,365.922424
CPMQ,Real Estate,-261.797913
SLQA,Industrials,467.676819
RSCX,Telecommunication Services,205.153992
NIMZ,Energy,-247.937836
YNTB,Telecommunication Services,111.775658
GNKJ,Industrials,-390.504944
AGJI,Real Estate,101.228828
OSXV,Consumer Staples,-245.617050
UKAV,Financials,-312.331604
BTVF,Utilities,261.577606
CPEA,Information Technology,492.778992
SRGK,Consumer Staples,12.379375
IOHB,Industrials,63.767845
SYTR,Health Care,-22.329630
HPVF,Telecommunication Services,446.622101
EUSC,Consumer Staples,-168.675186
IFBU,Information Technology,-265.417511
OGMU,Industrials,-275.227112
GKDI,Real Estate,-267.607025
EKUE,Energy,141.986176
NPYF,Industrials,-91.645226
NDHL,Industrials,-433.767365
QNQC,Consumer Discretionary,-226.613907
RFYE,Health Care,290.825287
QWYD,Energy,447.846680
IBKD,Energy,-108.478897
JXIA,Telecommunication Services,-369.554138
VXUO,Information Technology,481.736694
CPMG,Energy,245.448837
GSHN,Consumer Staples,416.921570
OCGX,Consumer Discretionary,-438.370300
JLQV,Financials,80.295876
HEET,Telecommunication Services,-135.910034
JMZE,Information Technology,477.686432
LJHK,Utilities,-486.036346
JAPQ,Utilities,192.109467
CBNS,Information Technology,-231.719681
AJWO,Industrials,-378.395782
