Symbol,Sector,PE_Ratio
DQAE,Energy,295.893188
MORU,Utilities,132.587265
CGGA,Health Care,364.680725
SULH,Health Care,-20.904385
UYGY,Industrials,-109.348152
MRLP,Financials,-404.558685
XMMY,Health Care,160.261795
PCLG,Utilities,-204.710373
QNYC,Real Estate,-230.656967
ZUML,Real Estate,353.951324
DXPI,Real Estate,364.763214
HNTU,Utilities,437.429932
YJJG,Industrials,-347.929199
VVUQ,Utilities,-404.976410
ZMUZ,Information Technology,-292.747711
KQAZ,Industrials,388.227356
XAMZ,Financials,440.180664
EIYG,Real Estate,272.751343
XLHF,Information Technology,-51.684254
MWBE,Consumer Staples,-284.173218
FZQE,Financials,-243.333603
EQLR,Telecommunication Services,163.299789
KGNX,Financials,-42.948120
MKRU,Energy,-110.244301
PHQT,Real Estate,287.216278
PNWF,Financials,-302.551727
WXSS,Energy,-420.820770
BRCD,Consumer Discretionary,-105.323647
ZKNJ,Consumer Staples,-354.563385
OXWS,Utilities,-247.343307
KJRV,Financials,-98.489975
FENC,Consumer Staples,70.200569
TMPX,Industrials,21.015686
ZZEW,Real Estate,6.416975
JQVG,Utilities,279.049744
PFZG,Financials,293.570679
TCHR,Real Estate,-119.120422
HPVJ,Financials,-415.421417
TCBP,Utilities,460.500305
JSTD,Utilities,-353.035675
AKZA,Utilities,273.330902
UDJB,Real Estate,-297.911591
VNOF,Financials,125.748131
DOAL,Real Estate,-87.103729
OCRF,Utilities,-362.006775
LOFR,Industrials,0.348582
XRAJ,Utilities,49.605976
JFVK,Utilities,-158.189056
SEKO,Health Care,-23.413893
CDAA,Telecommunication Services,201.099884
GLIJ,Consumer Staples,33.792870
HJTY,Health Care,415.612305
WVHC,Utilities,-487.724365
UKRF,Energy,-28.439222
AAYQ,Information Technology,-400.933990
XRQT,Consumer Discretionary,301.600220
FGWL,Real Estate,-171.016510
VDPA,Consumer Staples,168.546463
AXQD,Industrials,-231.560867
BBVD,Industrials,-17.285837
JXXS,Information Technology,-87.275063
EATH,Information Technology,334.507813
FUFW,Energy,165.111267
MQOI,Utilities,-250.708481
OCDE,Information Technology,198.390823
FJAN,Consumer Discretionary,-493.315674
GJOG,Financials,-331.929199
UGBC,Real Estate,-286.813782
ZVMP,Consumer Staples,65.160896
VRVF,Industrials,-406.868805
YDGQ,Utilities,381.264801
IVXT,Industrials,-90.453415
RXZA,Consumer Discretionary,-235.288712
OVDO,Telecommunication Services,320.972046
HKQK,Telecommunication Services,-258.274658
VALP,Financials,-228.385544
GVBD,Consumer Discretionary,281.383820
QFMI,Telecommunication Services,-80.336617
KUCZ,Industrials,-430.021515
BBTS,Industrials,20.274452
RKFT,Telecommunication Services,-298.962158
NVFV,Consumer Discretionary,482.579956
MCQB,Consumer Discretionary,390.474335
KKVL,Health Care,-5.690664
UDYF,Telecommunication Services,139.445786
BGRX,Utilities,-381.225739
HOVV,Real Estate,-118.508377
HKYF,Health Care,88.110992
VTNH,Consumer Discretionary,216.163086
RKJS,Telecommunication Services,-121.703911
IJLY,Consumer Staples,421.905121
PKWJ,Information Technology,-125.918549
OJFM,Utilities,-464.348694
ARIG,Telecommunication Services,376.350616
FTLG,Consumer Staples,-96.352303
UBYH,Information Technology,-31.402569
FSBN,Utilities,40.143497
QMNB,Energy,-303.408325
KSCE,Real Estate,-463.443970
RSAL,Utilities,478.758636
CXVE,Energy,-427.594604
